weeknum,end_station_name,member_casual,count_of_users
25,State St & Harrison St,casual,137
26,Clinton St & Lake St,casual,137
30,Clark St & Leland Ave,casual,137
14,Wabash Ave & Grand Ave,casual,136
19,Michigan Ave & Lake St,casual,136
20,Wabash Ave & Wacker Pl,casual,136
21,Canal St & Madison St,casual,136
26,State St & Kinzie St,casual,136
27,Wood St & Chicago Ave,casual,136
28,Theater on the Lake,casual,136
30,Franklin St & Adams St (Temp),casual,136
19,DuSable Lake Shore Dr & Wellington Ave,casual,135
20,Halsted St & Clybourn Ave,casual,135
23,Southport Ave & Clybourn Ave,casual,135
23,State St & Harrison St,casual,135
24,McClurg Ct & Erie St,casual,135
25,State St & Chicago Ave,casual,135
27,Damen Ave & Thomas St (Augusta Blvd),casual,135
30,Theater on the Lake,casual,135
30,Southport Ave & Wellington Ave,casual,135
30,Southport Ave & Belmont Ave,casual,135
12,Millennium Park,casual,134
15,Greenview Ave & Fullerton Ave,casual,134
19,Wells St & Huron St,casual,134
20,Ashland Ave & Division St,casual,134
20,Franklin St & Lake St,casual,134
20,Rush St & Cedar St,casual,134
24,Bissell St & Armitage Ave*,casual,134
29,Dayton St & North Ave,casual,134
14,Michigan Ave & 8th St,casual,133
25,Wolcott (Ravenswood) Ave & Montrose Ave,casual,133
15,Southport Ave & Wellington Ave,casual,132
15,Larrabee St & Webster Ave,casual,132
19,Broadway & Cornelia Ave,casual,132
9,Millennium Park,casual,131
15,Fort Dearborn Dr & 31st St,casual,131
20,Clark St & North Ave,casual,131
22,Lakefront Trail & Wilson Ave,casual,131
24,Shore Dr & 55th St,casual,131
27,Michigan Ave & 8th St,casual,131
27,Millennium Park,casual,131
28,Honore St & Division St,casual,131
15,Clark St & Newport St,casual,130
15,Sheridan Rd & Montrose Ave,casual,130
18,Columbus Dr & Randolph St,casual,130
20,Canal St & Madison St,casual,130
20,Ellis Ave & 55th St,casual,130
22,May St & Taylor St,casual,130
22,Burnham Harbor,casual,130
30,Damen Ave & Thomas St (Augusta Blvd),casual,130
16,DuSable Lake Shore Dr & North Blvd,casual,129
20,Wells St & Evergreen Ave,casual,129
22,Ellis Ave & 60th St,casual,129
24,May St & Taylor St,casual,129
28,Millennium Park,casual,129
2,Millennium Park,casual,128
12,DuSable Lake Shore Dr & Monroe St,casual,128
15,Ellis Ave & 55th St,casual,128
16,Clark St & Elm St,casual,128
22,Franklin St & Illinois St,casual,128
22,Wolcott (Ravenswood) Ave & Montrose Ave,casual,128
25,Sheridan Rd & Lawrence Ave,casual,128
27,May St & Taylor St,casual,128
27,Broadway & Thorndale Ave,casual,128
28,Michigan Ave & 8th St,casual,128
29,Racine Ave & Belmont Ave,casual,128
30,Dayton St & North Ave,casual,128
18,Mies van der Rohe Way & Chicago Ave,casual,127
20,Adler Planetarium,casual,127
21,Clark St & Newport St,casual,127
21,Sheridan Rd & Buena Ave,casual,127
21,Rush St & Superior St,casual,127
24,Southport Ave & Clybourn Ave,casual,127
25,Sheffield Ave & Willow St,casual,127
29,May St & Taylor St,casual,127
11,DuSable Lake Shore Dr & Monroe St,casual,126
21,Dayton St & North Ave,casual,126
23,State St & Chicago Ave,casual,126
27,Racine Ave & Fullerton Ave,casual,126
27,Clarendon Ave & Leland Ave,casual,126
29,Michigan Ave & 8th St,casual,126
29,Franklin St & Adams St (Temp),casual,126
30,Larrabee St & Kingsbury St,casual,126
18,Clark St & Wrightwood Ave,casual,125
21,Southport Ave & Wellington Ave,casual,125
30,Federal St & Polk St,casual,125
16,Damen Ave & Pierce Ave,casual,124
18,Stockton Dr & Wrightwood Ave,casual,124
19,New St & Illinois St,casual,124
25,Wells St & Polk St,casual,124
25,LaSalle Dr & Huron St,casual,124
27,Larrabee St & Kingsbury St,casual,124
