start_station_name,member_casual,count_of_users,,,start_station_name,count_of_users
Walden Pkwy & 100th St,casual,55,,,,
Meade Ave & Diversey Ave,casual,55,,,,
Lincolnwood Dr & Central St,casual,55,,,,
Public Rack - Western Blvd & 49th St,casual,55,,,,
Central Park Ave & 24th St,casual,55,,,,
Public Rack - Milwaukee Ave & Haussen Ct,casual,55,,,,
Austin Blvd & Chicago Ave,casual,54,,,,
63rd St Beach,casual,54,,,,
Cottage Grove Ave & 83rd St,casual,54,,,,
Avenue O & 134th St,casual,53,,,,
Dorchester Ave & 63rd St,casual,52,,,,
Damen Ave & Coulter St,casual,52,,,,
Sacramento Blvd & Franklin Blvd,casual,51,,,,
Stony Island Ave & 71st St,casual,51,,,,
Kedzie Ave & 52nd St,casual,51,,,,
Public Rack - Woodlawn Ave & 63rd St N,casual,49,,,,
Richmond St & Lincoln Ave,casual,49,,,,
